integer_key,column_name,reference_name,display_name,short_display_name,Description,value_mappings
162.2,c_162_2,technologysignalstrengthpercentcdmagprs,CDMA/GPRS Signal Strength %,Signal Str%,This represents the Signal Strength Percentage for CDMA/GPRS,
162.3,c_162_3,technologysignalstrengthpercentwimax,WiMax Signal Strength %,Signal Str%,This represents the Signal Strength Percentage for WiMax,
162.4,c_162_4,technologysignalstrengthpercentethernet,Ethernet Signal Strength %,Signal Str%,This represents the Signal Strength Percentage for Ethernet,
163.1,c_163_1,technologysignalstrengthwifi,WiFi Signal Strength dBm,Signal Str dBm,This represents the Signal Strength in dBm for WiFi,
163.2,c_163_2,technologysignalstrengthcdmagprs,CDMA/GPRS Signal Strength dBm,Signal Str dBm,This represents the Signal Strength in dBm for CDMA/GPRS,
163.3,c_163_3,technologysignalstrengthwimax,WiMax Signal Strength dBm,Signal Str dBm,This represents the Signal Strength in dBm for WiMax,
163.4,c_163_4,technologysignalstrengthethernet,Ethernet Signal Strength dBm,Signal Str dBm,This represents the Signal Strength in dBm for Ethernet,
164,c_164,technologybytesup,Total Bytes Transmitted Up,Tot Bytes up,This indicates the Total Number of Bytes Transmitted on the Uplink during this session.,
165,c_165,technologybytesdown,Total Bytes Transmitted Down,Tot Bytes dn,This indicates the Total Number of Bytes Transmitted on the Downlink during this session.,
166,c_166,technologyfinalbandwidthup,Last Session Bandwidth Up,Lst Bndwdth Up,This indicates the Final Bandwidth (the last time data was transmitted) on the Uplink before the session was disconnected.,
167,c_167,technologyfinalbandwidthdown,Last Session Bandwidth Dn,Lst Bndwdth Dn,This indicates the Final Bandwidth (the last time data was transmitted) on the Downlink before the session was disconnected.,
168,c_168,technologysesavgthroughputup,Average Throughput Up,Ave Thrupt Up,This indicates the Average Throughput on the Uplink during the time that this session was active.,
169,c_169,technologysesavgthroughputdown,Average Throughput Dn,Ave Thrupt Dn,This indicates the Average Throughput on the Downlink during the time that this session was active.,
170,c_170,technologysesduration,Total Session Duration,Ttl Sess Dur,This indicates the Total Duration of this session.,
171.1,c_171_1,technologydownloadspeedwifi,WiFi Download Speed,WiFi Dn Spd,Download Speed as measured by individual network technologies for WiFi,
171.2,c_171_2,technologydownloadspeedcdmagprs,CDMA/GPRS Download Speed,CDMA/GPRS Dn Spd,Download Speed as measured by individual network technologies for CDMA/GPRS,
171.3,c_171_3,technologydownloadspeedwimax,WiMax Download Speed,WiMax Dn Spd,Download Speed as measured by individual network technologies for WiMax,
171.4,c_171_4,technologydownloadspeedetherne,Ethernet Download Speed,Ethernet Dn Spd,Download Speed as measured by individual network technologies for Ethernet,
172.1,c_172_1,technologyuploadspeedwifi,WiFi Upload Speed,WiFi Up Spd,Upload Speed as measured by individual network technologies for WiFi,
172.2,c_172_2,technologyuploadspeedcdmagprs,CDMA/GPRS Upload Speed,CDMA/GPRS Up Spd,Upload Speed as measured by individual network technologies for CDMA/GPRS,
172.3,c_172_3,technologyuploadspeedwimax,WiMax Upload Speed,WiMax Up Spd,Upload Speed as measured by individual network technologies for WiMax,
172.4,c_172_4,technologyuploadspeedethernet,Ethernet Upload Speed,Ethernet Up Spd,Upload Speed as measured by individual network technologies for Ethernet,
173.1,c_173_1,technologypublicipaddrwifi,WiFi Public IP,WiFi IP,Public IP address by technology for WiFI,
173.2,c_173_2,technologypublicipaddrcdmagprs,CDMA/GPRS Public IP,CDMA/GPRS IP,Public IP address by technology for CDMA/GPRS,
173.3,c_173_3,technologypublicipaddrwimax,WiMax Public IP,WiMax IP,Public IP address by technology for WiMax,
173.4,c_173_4,technologypublicipaddrethernet,Ethernet Public IP,Ethernet IP,Public IP address by technology for Ethernet,
